id,natural_language,sql_query
1,"Show me the department, position, name, age of employees where hire_date is after 2023-01-16","SELECT department, position, name, age FROM users WHERE hire_date > '2023-01-16';"
2,"Show me the salary, age, department of employees where age is not equal to 51","SELECT salary, age, department FROM users WHERE age != 51;"
3,"Show me the email, salary of employees where email is before Chloe Rodriguez","SELECT email, salary FROM users WHERE email < 'Chloe Rodriguez';"
4,"Show me the age, hire_date of employees where position is greater than Engineer","SELECT age, hire_date FROM users WHERE position > 'Engineer';"
5,"Show me the salary, department, position, age of employees where salary is not equal to 45540","SELECT salary, department, position, age FROM users WHERE salary != 45540;"
6,"Show me the salary, hire_date of employees where position is equal to Director","SELECT salary, hire_date FROM users WHERE position = 'Director';"
7,"Show me the email, department, age, hire_date of employees where position is equal to Engineer","SELECT email, department, age, hire_date FROM users WHERE position = 'Engineer';"
8,"Show me the hire_date, salary of employees where department is not equal to HR","SELECT hire_date, salary FROM users WHERE department != 'HR';"
9,"Show me the salary, hire_date, age, position of employees where position is not equal to Manager","SELECT salary, hire_date, age, position FROM users WHERE position != 'Manager';"
10,"Show me the name, email, age, hire_date of employees where email is less than Angela Gomez","SELECT name, email, age, hire_date FROM users WHERE email < 'Angela Gomez';"
11,"Show me the department, email, name, age of employees where hire_date is not equal to 2016-10-01","SELECT department, email, name, age FROM users WHERE hire_date != '2016-10-01';"
12,Show me the email of employees where department is equal to Finance,SELECT email FROM users WHERE department = 'Finance';
13,"Show me the name, hire_date, email of employees where position is after Specialist","SELECT name, hire_date, email FROM users WHERE position > 'Specialist';"
14,Show me the position of employees where age is after 62,SELECT position FROM users WHERE age > 62;
15,"Show me the salary, age of employees where hire_date is greater than 2017-11-05","SELECT salary, age FROM users WHERE hire_date > '2017-11-05';"
16,Show me the position of employees where department is before Sales,SELECT position FROM users WHERE department < 'Sales';
17,"Show me the hire_date, salary, department, age of employees where position is less than Coordinator","SELECT hire_date, salary, department, age FROM users WHERE position < 'Coordinator';"
18,"Show me the hire_date, position, salary of employees where email is before Dustin Marsh","SELECT hire_date, position, salary FROM users WHERE email < 'Dustin Marsh';"
19,"Show me the age, hire_date, salary, position of employees where name is before Shannon Christensen","SELECT age, hire_date, salary, position FROM users WHERE name < 'Shannon Christensen';"
20,"Show me the position, age, name of employees where email is equal to John Freeman","SELECT position, age, name FROM users WHERE email = 'John Freeman';"
21,"Show me the department, salary of employees where salary is after 76713","SELECT department, salary FROM users WHERE salary > 76713;"
22,Show me the hire_date of employees where salary is greater than 59520,SELECT hire_date FROM users WHERE salary > 59520;
23,"Show me the position, email of employees where email is equal to Kyle Galloway","SELECT position, email FROM users WHERE email = 'Kyle Galloway';"
24,"Show me the age, name, department, salary of employees where hire_date is not equal to 2018-12-26","SELECT age, name, department, salary FROM users WHERE hire_date != '2018-12-26';"
25,Show me the name of employees where position is after Engineer,SELECT name FROM users WHERE position > 'Engineer';
26,Show me the department of employees where position is equal to Specialist,SELECT department FROM users WHERE position = 'Specialist';
27,"Show me the age, department, hire_date, email of employees where hire_date is after 2024-08-03","SELECT age, department, hire_date, email FROM users WHERE hire_date > '2024-08-03';"
28,"Show me the name, email, position, age of employees where hire_date is not equal to 2018-07-30","SELECT name, email, position, age FROM users WHERE hire_date != '2018-07-30';"
29,"Show me the salary, hire_date, department of employees where salary is less than 103134","SELECT salary, hire_date, department FROM users WHERE salary < 103134;"
30,"Show me the position, age, name of employees where name is less than Audrey Ward","SELECT position, age, name FROM users WHERE name < 'Audrey Ward';"
31,"Show me the hire_date, name of employees where email is greater than Tracey Hardy","SELECT hire_date, name FROM users WHERE email > 'Tracey Hardy';"
32,"Show me the age, email, salary of employees where email is greater than Andrew Brown","SELECT age, email, salary FROM users WHERE email > 'Andrew Brown';"
33,Show me the email of employees where hire_date is not equal to 2019-04-26,SELECT email FROM users WHERE hire_date != '2019-04-26';
34,"Show me the email, department of employees where age is equal to 51","SELECT email, department FROM users WHERE age = 51;"
35,"Show me the department, position, salary of employees where name is less than Erik Stephens","SELECT department, position, salary FROM users WHERE name < 'Erik Stephens';"
36,Show me the email of employees where hire_date is less than 2019-03-01,SELECT email FROM users WHERE hire_date < '2019-03-01';
37,Show me the department of employees where hire_date is not equal to 2017-09-02,SELECT department FROM users WHERE hire_date != '2017-09-02';
38,Show me the position of employees where position is equal to Director,SELECT position FROM users WHERE position = 'Director';
39,Show me the department of employees where email is less than Dr. Kelsey Johnson MD,SELECT department FROM users WHERE email < 'Dr. Kelsey Johnson MD';
40,"Show me the position, department of employees where email is after Ashley Rice","SELECT position, department FROM users WHERE email > 'Ashley Rice';"
41,"Show me the age, name, hire_date, email of employees where name is after Nicole Martin","SELECT age, name, hire_date, email FROM users WHERE name > 'Nicole Martin';"
42,"Show me the position, salary of employees where email is less than Brittany Fowler","SELECT position, salary FROM users WHERE email < 'Brittany Fowler';"
43,Show me the salary of employees where salary is not equal to 126564,SELECT salary FROM users WHERE salary != 126564;
44,"Show me the hire_date, department of employees where name is not equal to Michael Williams","SELECT hire_date, department FROM users WHERE name != 'Michael Williams';"
45,"Show me the email, name of employees where hire_date is equal to 2022-07-10","SELECT email, name FROM users WHERE hire_date = '2022-07-10';"
46,"Show me the age, hire_date, email, department of employees where email is before Michael Miles","SELECT age, hire_date, email, department FROM users WHERE email < 'Michael Miles';"
47,"Show me the email, department of employees where name is after Melissa Cunningham","SELECT email, department FROM users WHERE name > 'Melissa Cunningham';"
48,"Show me the position, department of employees where hire_date is before 2018-04-01","SELECT position, department FROM users WHERE hire_date < '2018-04-01';"
49,"Show me the department, hire_date, position, email of employees where name is before Katelyn Gomez","SELECT department, hire_date, position, email FROM users WHERE name < 'Katelyn Gomez';"
50,Show me the department of employees where hire_date is before 2018-09-22,SELECT department FROM users WHERE hire_date < '2018-09-22';
51,"Show me the department, age of employees where department is not equal to HR","SELECT department, age FROM users WHERE department != 'HR';"
52,"Show me the age, position, name of employees where name is after Robert Ross","SELECT age, position, name FROM users WHERE name > 'Robert Ross';"
53,"Show me the name, email of employees where department is greater than Finance","SELECT name, email FROM users WHERE department > 'Finance';"
54,"Show me the age, department of employees where age is greater than 51","SELECT age, department FROM users WHERE age > 51;"
55,"Show me the age, department of employees where email is greater than Wendy Castillo","SELECT age, department FROM users WHERE email > 'Wendy Castillo';"
56,"Show me the position, email, salary, hire_date of employees where name is before David Petersen","SELECT position, email, salary, hire_date FROM users WHERE name < 'David Petersen';"
57,"Show me the email, hire_date, age, salary of employees where position is after Coordinator","SELECT email, hire_date, age, salary FROM users WHERE position > 'Coordinator';"
58,"Show me the age, department, name of employees where age is equal to 24","SELECT age, department, name FROM users WHERE age = 24;"
59,"Show me the email, salary of employees where department is less than Marketing","SELECT email, salary FROM users WHERE department < 'Marketing';"
60,"Show me the salary, name of employees where hire_date is before 2024-07-25","SELECT salary, name FROM users WHERE hire_date < '2024-07-25';"
61,"Show me the position, salary of employees where age is not equal to 45","SELECT position, salary FROM users WHERE age != 45;"
62,Show me the department of employees where position is equal to Director,SELECT department FROM users WHERE position = 'Director';
63,"Show me the department, email, name, age of employees where age is before 64","SELECT department, email, name, age FROM users WHERE age < 64;"
64,Show me the name of employees where position is not equal to Director,SELECT name FROM users WHERE position != 'Director';
65,"Show me the email, salary, name of employees where age is equal to 44","SELECT email, salary, name FROM users WHERE age = 44;"
66,"Show me the name, hire_date, position, department of employees where salary is equal to 88479","SELECT name, hire_date, position, department FROM users WHERE salary = 88479;"
67,"Show me the hire_date, age, department of employees where department is after Finance","SELECT hire_date, age, department FROM users WHERE department > 'Finance';"
68,"Show me the hire_date, salary, age, department of employees where salary is before 67742","SELECT hire_date, salary, age, department FROM users WHERE salary < 67742;"
69,"Show me the salary, hire_date, name of employees where age is not equal to 65","SELECT salary, hire_date, name FROM users WHERE age != 65;"
70,"Show me the department, salary, hire_date of employees where position is greater than Coordinator","SELECT department, salary, hire_date FROM users WHERE position > 'Coordinator';"
71,Show me the email of employees where email is after Susan Walker,SELECT email FROM users WHERE email > 'Susan Walker';
72,"Show me the salary, age, position of employees where hire_date is after 2019-06-19","SELECT salary, age, position FROM users WHERE hire_date > '2019-06-19';"
73,"Show me the hire_date, department, name, position of employees where email is less than Cody Miller","SELECT hire_date, department, name, position FROM users WHERE email < 'Cody Miller';"
74,Show me the name of employees where hire_date is after 2017-12-14,SELECT name FROM users WHERE hire_date > '2017-12-14';
75,"Show me the age, name of employees where name is after Emily Parker","SELECT age, name FROM users WHERE name > 'Emily Parker';"
76,Show me the salary of employees where email is less than Jacqueline Andrews,SELECT salary FROM users WHERE email < 'Jacqueline Andrews';
77,"Show me the hire_date, age, email, department of employees where department is equal to Finance","SELECT hire_date, age, email, department FROM users WHERE department = 'Finance';"
78,"Show me the email, department of employees where hire_date is less than 2022-08-13","SELECT email, department FROM users WHERE hire_date < '2022-08-13';"
79,"Show me the age, name, position, email of employees where position is equal to Coordinator","SELECT age, name, position, email FROM users WHERE position = 'Coordinator';"
80,Show me the position of employees where hire_date is not equal to 2015-11-29,SELECT position FROM users WHERE hire_date != '2015-11-29';
81,"Show me the email, age of employees where department is not equal to IT Support","SELECT email, age FROM users WHERE department != 'IT Support';"
82,"Show me the position, hire_date, email, salary of employees where position is less than Coordinator","SELECT position, hire_date, email, salary FROM users WHERE position < 'Coordinator';"
83,"Show me the department, position of employees where position is not equal to Director","SELECT department, position FROM users WHERE position != 'Director';"
84,Show me the department of employees where hire_date is after 2022-08-04,SELECT department FROM users WHERE hire_date > '2022-08-04';
85,"Show me the email, hire_date, name of employees where department is after Finance","SELECT email, hire_date, name FROM users WHERE department > 'Finance';"
86,"Show me the salary, hire_date of employees where email is not equal to Craig Pham","SELECT salary, hire_date FROM users WHERE email != 'Craig Pham';"
87,"Show me the name, hire_date, email, age of employees where position is before Manager","SELECT name, hire_date, email, age FROM users WHERE position < 'Manager';"
88,"Show me the age, salary, hire_date of employees where department is greater than IT Support","SELECT age, salary, hire_date FROM users WHERE department > 'IT Support';"
89,Show me the position of employees where name is less than Kayla Franklin,SELECT position FROM users WHERE name < 'Kayla Franklin';
90,"Show me the age, email, salary, department of employees where position is not equal to Coordinator","SELECT age, email, salary, department FROM users WHERE position != 'Coordinator';"
91,"Show me the email, age, name, department of employees where email is less than Aaron Walker","SELECT email, age, name, department FROM users WHERE email < 'Aaron Walker';"
92,"Show me the position, department of employees where salary is before 109835","SELECT position, department FROM users WHERE salary < 109835;"
93,"Show me the department, position, salary of employees where salary is after 92706","SELECT department, position, salary FROM users WHERE salary > 92706;"
94,Show me the email of employees where position is not equal to Director,SELECT email FROM users WHERE position != 'Director';
